{'M_BLOCKING=16_avg': 11.3155, 'M_BLOCKING=16_best': 11.3155, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.7034, 'M_BLOCKING=1_best': 10.7034, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 10.6294, 'M_BLOCKING=2_best': 10.6294, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 11.526399999999999, 'M_BLOCKING=31_best': 11.526399999999999, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 10.862300000000001, 'M_BLOCKING=4_best': 10.862300000000001, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 11.2241, 'M_BLOCKING=8_best': 11.2241, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 1.1816, 'xsmm_reference_best': 1.1816, 'xsmm_reference_cpu_freq': 3.000015, 'xsmm_reference_kernel_type': 'dense'}
{'M_BLOCKING=16_avg': 80.91420000000001, 'M_BLOCKING=16_best': 80.91420000000001, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 80.0067, 'M_BLOCKING=1_best': 80.0067, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 80.1279, 'M_BLOCKING=2_best': 80.1279, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 81.3475, 'M_BLOCKING=31_best': 81.3475, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 80.821, 'M_BLOCKING=4_best': 80.821, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 81.5909, 'M_BLOCKING=8_best': 81.5909, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 6.5387, 'xsmm_reference_best': 6.5387, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 81.9002, 'M_BLOCKING=16_best': 81.9002, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 80.1526, 'M_BLOCKING=1_best': 80.1526, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 80.7562, 'M_BLOCKING=2_best': 80.7562, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 82.25370000000001, 'M_BLOCKING=31_best': 82.25370000000001, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 81.0373, 'M_BLOCKING=4_best': 81.0373, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 82.2081, 'M_BLOCKING=8_best': 82.2081, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 11.0836, 'xsmm_reference_best': 11.0836, 'xsmm_reference_cpu_freq': 2.999935, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 162.93009999999998, 'M_BLOCKING=16_best': 162.93009999999998, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 152.1123, 'M_BLOCKING=1_best': 152.1123, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 160.31779999999998, 'M_BLOCKING=2_best': 160.31779999999998, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 161.7567, 'M_BLOCKING=31_best': 161.7567, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 161.3944, 'M_BLOCKING=4_best': 161.3944, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 161.177, 'M_BLOCKING=8_best': 161.177, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 13.772300000000001, 'xsmm_reference_best': 13.772300000000001, 'xsmm_reference_cpu_freq': 2.999904, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 164.2917, 'M_BLOCKING=16_best': 164.2917, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 159.8664, 'M_BLOCKING=1_best': 159.8664, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 161.2007, 'M_BLOCKING=2_best': 161.2007, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 162.9549, 'M_BLOCKING=31_best': 162.9549, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 161.50889999999998, 'M_BLOCKING=4_best': 161.50889999999998, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 161.77429999999998, 'M_BLOCKING=8_best': 161.77429999999998, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 10.2422, 'xsmm_reference_best': 10.2422, 'xsmm_reference_cpu_freq': 2.999925, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 32.1331, 'M_BLOCKING=16_best': 32.1331, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 30.2774, 'M_BLOCKING=1_best': 30.2774, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 30.568, 'M_BLOCKING=2_best': 30.568, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 32.731899999999996, 'M_BLOCKING=31_best': 32.731899999999996, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 31.7697, 'M_BLOCKING=4_best': 31.7697, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 31.774, 'M_BLOCKING=8_best': 31.774, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 8.8279, 'xsmm_reference_best': 8.8279, 'xsmm_reference_cpu_freq': 2.999847, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 161.1818, 'M_BLOCKING=16_best': 161.1818, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 155.9907, 'M_BLOCKING=1_best': 155.9907, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 156.50259999999997, 'M_BLOCKING=2_best': 156.50259999999997, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 158.66770000000002, 'M_BLOCKING=31_best': 158.66770000000002, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 157.7256, 'M_BLOCKING=4_best': 157.7256, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 158.3826, 'M_BLOCKING=8_best': 158.3826, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 13.2964, 'xsmm_reference_best': 13.2964, 'xsmm_reference_cpu_freq': 2.999953, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 159.0833, 'M_BLOCKING=16_best': 159.0833, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 156.8683, 'M_BLOCKING=1_best': 156.8683, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 157.3097, 'M_BLOCKING=2_best': 157.3097, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 162.0024, 'M_BLOCKING=31_best': 162.0024, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 160.2469, 'M_BLOCKING=4_best': 160.2469, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 158.45929999999998, 'M_BLOCKING=8_best': 158.45929999999998, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 22.398800000000005, 'xsmm_reference_best': 22.398800000000005, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 347.82370000000003, 'M_BLOCKING=16_best': 347.82370000000003, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 324.5059, 'M_BLOCKING=1_best': 324.5059, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 338.9672, 'M_BLOCKING=2_best': 338.9672, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 349.0034, 'M_BLOCKING=31_best': 349.0034, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 346.3839, 'M_BLOCKING=4_best': 346.3839, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 345.9003, 'M_BLOCKING=8_best': 345.9003, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 25.4583, 'xsmm_reference_best': 25.4583, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 348.3501, 'M_BLOCKING=16_best': 348.3501, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 344.56190000000004, 'M_BLOCKING=1_best': 344.56190000000004, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 345.2381, 'M_BLOCKING=2_best': 345.2381, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 351.68719999999996, 'M_BLOCKING=31_best': 351.68719999999996, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 348.0466, 'M_BLOCKING=4_best': 348.0466, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 348.9196, 'M_BLOCKING=8_best': 348.9196, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 11, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 21.0899, 'xsmm_reference_best': 21.0899, 'xsmm_reference_cpu_freq': 2.999881, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 159.2441, 'M_BLOCKING=16_best': 159.2441, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 155.99790000000002, 'M_BLOCKING=1_best': 155.99790000000002, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 157.2567, 'M_BLOCKING=2_best': 157.2567, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 158.5504, 'M_BLOCKING=31_best': 158.5504, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 157.0299, 'M_BLOCKING=4_best': 157.0299, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 157.2639, 'M_BLOCKING=8_best': 157.2639, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 10.4167, 'xsmm_reference_best': 10.4167, 'xsmm_reference_cpu_freq': 2.999954, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 159.8813, 'M_BLOCKING=16_best': 159.8813, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 155.9137, 'M_BLOCKING=1_best': 155.9137, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 157.0996, 'M_BLOCKING=2_best': 157.0996, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 158.6249, 'M_BLOCKING=31_best': 158.6249, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 157.49349999999998, 'M_BLOCKING=4_best': 157.49349999999998, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 157.62359999999998, 'M_BLOCKING=8_best': 157.62359999999998, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 13.1217, 'xsmm_reference_best': 13.1217, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 161.2287, 'M_BLOCKING=16_best': 161.2287, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 156.8674, 'M_BLOCKING=1_best': 156.8674, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 159.46480000000003, 'M_BLOCKING=2_best': 159.46480000000003, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 159.928, 'M_BLOCKING=31_best': 159.928, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 158.3127, 'M_BLOCKING=4_best': 158.3127, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 158.4032, 'M_BLOCKING=8_best': 158.4032, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 21.3155, 'xsmm_reference_best': 21.3155, 'xsmm_reference_cpu_freq': 2.999941, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 379.84029999999996, 'M_BLOCKING=16_best': 379.84029999999996, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 352.5407, 'M_BLOCKING=1_best': 352.5407, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 368.5967, 'M_BLOCKING=2_best': 368.5967, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 380.1933, 'M_BLOCKING=31_best': 380.1933, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 379.62350000000004, 'M_BLOCKING=4_best': 379.62350000000004, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 378.8026, 'M_BLOCKING=8_best': 378.8026, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 25.2446, 'xsmm_reference_best': 25.2446, 'xsmm_reference_cpu_freq': 2.99988, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 381.70369999999997, 'M_BLOCKING=16_best': 381.70369999999997, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 375.46889999999996, 'M_BLOCKING=1_best': 375.46889999999996, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 376.0563, 'M_BLOCKING=2_best': 376.0563, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 380.9402, 'M_BLOCKING=31_best': 380.9402, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 379.92690000000005, 'M_BLOCKING=4_best': 379.92690000000005, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 380.8587, 'M_BLOCKING=8_best': 380.8587, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'mat_file': 'data/example_mats/hex/p4/gauss-legendre/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 21.3047, 'xsmm_reference_best': 21.3047, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 46.617999999999995, 'M_BLOCKING=16_best': 46.617999999999995, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 42.99249999999999, 'M_BLOCKING=1_best': 42.99249999999999, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 45.7936, 'M_BLOCKING=2_best': 45.7936, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 47.2489, 'M_BLOCKING=31_best': 47.2489, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 45.6561, 'M_BLOCKING=4_best': 45.6561, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 46.3578, 'M_BLOCKING=8_best': 46.3578, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 14.220699999999999, 'xsmm_reference_best': 14.220699999999999, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 275.2578, 'M_BLOCKING=16_best': 275.2578, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 270.35929999999996, 'M_BLOCKING=1_best': 270.35929999999996, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 270.52570000000003, 'M_BLOCKING=2_best': 270.52570000000003, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 273.8878, 'M_BLOCKING=31_best': 273.8878, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 273.246, 'M_BLOCKING=4_best': 273.246, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 272.5688, 'M_BLOCKING=8_best': 272.5688, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 20.6275, 'xsmm_reference_best': 20.6275, 'xsmm_reference_cpu_freq': 2.99993, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 275.78069999999997, 'M_BLOCKING=16_best': 275.78069999999997, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 271.8886, 'M_BLOCKING=1_best': 271.8886, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 274.6953, 'M_BLOCKING=2_best': 274.6953, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 280.8976, 'M_BLOCKING=31_best': 280.8976, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 274.2622, 'M_BLOCKING=4_best': 274.2622, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 276.58389999999997, 'M_BLOCKING=8_best': 276.58389999999997, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 36.287400000000005, 'xsmm_reference_best': 36.287400000000005, 'xsmm_reference_cpu_freq': 2.999967, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 725.4937, 'M_BLOCKING=16_best': 725.4937, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 678.3662, 'M_BLOCKING=1_best': 678.3662, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 690.5941, 'M_BLOCKING=2_best': 690.5941, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 728.4488, 'M_BLOCKING=31_best': 728.4488, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 703.6212, 'M_BLOCKING=4_best': 703.6212, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 705.6522, 'M_BLOCKING=8_best': 705.6522, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 648, 'a_nonzero': 3456, 'a_rows': 216, 'a_size': 139968, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 45.1627, 'xsmm_reference_best': 45.1627, 'xsmm_reference_cpu_freq': 2.999879, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 730.9227, 'M_BLOCKING=16_best': 730.9227, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 715.1593, 'M_BLOCKING=1_best': 715.1593, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 718.7535, 'M_BLOCKING=2_best': 718.7535, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 733.5631000000001, 'M_BLOCKING=31_best': 733.5631000000001, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 723.2263, 'M_BLOCKING=4_best': 723.2263, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 724.6832, 'M_BLOCKING=8_best': 724.6832, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 216, 'a_nonzero': 3456, 'a_rows': 648, 'a_size': 139968, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 40.0696, 'xsmm_reference_best': 40.0696, 'xsmm_reference_cpu_freq': 2.999945, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 272.2573, 'M_BLOCKING=16_best': 272.2573, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 270.2475, 'M_BLOCKING=1_best': 270.2475, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 270.3788, 'M_BLOCKING=2_best': 270.3788, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 275.23380000000003, 'M_BLOCKING=31_best': 275.23380000000003, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 272.2221, 'M_BLOCKING=4_best': 272.2221, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 272.6918, 'M_BLOCKING=8_best': 272.6918, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 18.324, 'xsmm_reference_best': 18.324, 'xsmm_reference_cpu_freq': 2.999884, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 272.9127, 'M_BLOCKING=16_best': 272.9127, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 269.4274, 'M_BLOCKING=1_best': 269.4274, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 271.3523, 'M_BLOCKING=2_best': 271.3523, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 276.0848, 'M_BLOCKING=31_best': 276.0848, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 272.4745, 'M_BLOCKING=4_best': 272.4745, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 273.8958, 'M_BLOCKING=8_best': 273.8958, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats/hex/p5/gauss-legendre/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 20.760299999999994, 'xsmm_reference_best': 20.760299999999994, 'xsmm_reference_cpu_freq': 2.999927, 'xsmm_reference_kernel_type': 'wide-sparse'}
